3834,סלקום,1033,פורת,חורשת אקליפטוסים,לב השרון,לב השרון,196118,688377,תורן קרקעי,28/07/2013,17/02/2020,25/06/2023,יש היתר,1.69,0.19,קרקע,http://documents.sviva.gov.il/B001_2_1033_20210629_0918.pdf,http://documents.sviva.gov.il/B002_2_1033_20200217_1512.pdf,דור 2 3 4,34.95668011650149,32.28885781254827
3895,סלקום,22246,קלנסווה,רח` אל קירואן,קלנסווה,קלנסווה,198562,688351,אנטנת עוקץ,28/11/2022,15/06/2023,19/04/2023,יש היתר,25.512,3.918,במבנה רחוב אל-קירואן 11,http://documents.sviva.gov.il/B001_2_22246_20221128_1558.pdf,http://documents.sviva.gov.il/B002_2_22246_20230615_1328.pdf,דור 3 4 5,34.982626143348845,32.2886715900066
4046,פלאפון,920021,עולש,אתר שפכים,עמק חפר,עמק חפר,200770,693248,תורן קרקעי,21/06/2023,05/07/2023,28/06/2023,יש היתר,2.655,0.596,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920021_20230621_1114.pdf,http://documents.sviva.gov.il/B002_3_920021_20230706_1127.pdf,דור 3 4 5,35.00596998319108,32.33286975968636
4057,פלאפון,920109,צור משה,צור משה,לב השרון,צור משה,192091,689654,מתקן גישה אלחוטי,30/03/2017,19/04/2023,28/03/2023,יש היתר,20.54,2.645,במבנה בית חולים - קומה 1 במרחק 34 מטר ובכיוון °0.,http://documents.sviva.gov.il/B001_3_920109_20170330_1004.pdf,http://documents.sviva.gov.il/B002_3_920109_20230419_1759.pdf,דור 3 4,34.91389298582929,32.30028212825912
4064,פלאפון,920178,גאולים,שטח במושב פורת - סמוך לתורן סלקום,לב השרון,לב השרון,196140,688371,תורן קרקעי,08/07/2021,08/01/2023,28/12/2022,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920178_20210708_1630.pdf,http://documents.sviva.gov.il/B002_3_920178_20230116_0903.pdf,דור 3 4,34.95691381476055,32.288804164931484
4065,פלאפון,920179,טייבה,צומת שער אפרים,טייבה,טייבה,200773,687601,תורן קרקעי,02/06/2021,14/12/2021,25/11/2021,יש היתר,2.155,0.52,בתוך מבנה מגורים שלומציון 59,http://documents.sviva.gov.il/B001_3_920179_20210602_1308.pdf,http://documents.sviva.gov.il/B002_3_920179_20211214_1404.pdf,דור 3 4,35.006112784348,32.28194740788884
4071,פלאפון,920199,עזריאל,כביש 553 מזרחית לישוב פורת כ-1.4  קמ,לב השרון,לב השרון,196215,685577,תורן קרקעי,14/07/2022,18/06/2023,22/05/2023,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920199_20220714_1408.pdf,http://documents.sviva.gov.il/B002_3_920199_20230619_0943.pdf,דור 3 4,34.95777818900186,32.263610499616405
4073,פלאפון,920201,כפר יונה,שרת 6,שרונים,כפר יונה,193968,691619,מתקן גישה אלחוטי,02/11/2015,08/08/2021,23/04/2023,יש היתר,,,,http://documents.sviva.gov.il/B001_3_920201_20151102_0923.pdf,http://documents.sviva.gov.il/B002_3_920201_20210808_1807.pdf,דור 3 4,34.93376893683691,32.31804590617047
4078,פלאפון,920209,רופין,קיבוץ העוגן,עמק חפר,עמק חפר,192397,696166,תורן קרקעי,09/11/2017,28/03/2023,23/03/2023,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920209_20171109_0839.pdf,http://documents.sviva.gov.il/B002_3_920209_20230329_1558.pdf,דור 3 4,34.91695636812489,32.35901159461813
4079,פלאפון,920215,יד חנה,כביש יד חנה קידוח בארותיים 2,עמק חפר,עמק חפר,200075,691730,תורן קרקעי,31/08/2023,18/10/2020,02/10/2020,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920215_20230831_1049.pdf,http://documents.sviva.gov.il/B002_3_920215_20201018_1214.pdf,דור 3 4 5,34.99861925974778,32.319169261035434
4082,פלאפון,920227,עמק חפר,שטח חקלאי דרום מזרחית לישוב כפר ידידיה (,עמק חפר,עמק חפר,190956,693544,תורן קרקעי,21/02/2023,08/10/2023,27/09/2023,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920227_20230221_1608.pdf,http://documents.sviva.gov.il/B002_3_920227_20231009_1247.pdf,דור 3 4,34.901725759058614,32.335331958563366
4085,פלאפון,920245,עמק חפר,תורן סלקום הנמצא בשדה פתוח ליד הישוב חני,עמק חפר,עמק חפר,195877,692636,תורן קרקעי,18/02/2021,23/06/2021,07/06/2021,יש היתר,0,0,קרקע,http://documents.sviva.gov.il/B001_3_920245_20210218_0911.pdf,http://documents.sviva.gov.il/B002_3_920245_20210629_0911.pdf,דור 3 4,34.954016065192555,32.32725859561707
4086,פלאפון,920251,כפר יונה,זית 37,כפר יונה,כפר יונה,193849,691089,מתקן גישה אלחוטי,23/11/2021,08/01/2023,27/11/2022,יש היתר,29.971,4.225,במבנה בית פרטי רח` הפקאן 1 - גג+ מרפסת במרחק 34 מטר ובכיוון °120.,http://documents.sviva.gov.il/B001_3_920251_20211123_1714.pdf,http://documents.sviva.gov.il/B002_3_920251_20230108_1552.pdf,דור 3 4,34.9325195114537,32.31326389223355
4090,פלאפון,920268,כפר יונה,"אח`"" אילת",כפר יונה,כפר יונה,194290,691434,מתקן גישה אלחוטי,19/02/2015,24/02/2020,09/11/2022,יש היתר,11.92,2.003,במרפסת שכן במרחק 7 מטר ובכיוון °0.,http://documents.sviva.gov.il/B001_3_920268_20150219_0821.pdf,http://documents.sviva.gov.il/B002_3_920268_20200224_0957.pdf,דור 3 4,34.937193266828665,32.316384946569315
4096,פלאפון,920303,קדימה,סוף  רחוב  משמר  הירדן,קדימה צורן,צורן קדימה,192965,687735,תורן קרקעי,10/08/2022,13/02/2023,11/01/2023,יש היתר,1.606,0.309,במפלס קרקע/חממות במרחק 40 מטר ובכיוון °260.,http://documents.sviva.gov.il/B001_3_920303_20220810_0850.pdf,http://documents.sviva.gov.il/B002_3_920303_20230213_1130.pdf,דור 3 4 5,34.92322589329078,32.282998423402034
4097,פלאפון,920304,ידידיה,הדרם מבנה שאיבה (תחנת סניקה גוש חיה),עמק חפר,עמק חפר,191491,695191,תורן קרקעי,05/04/2016,08/01/2023,21/12/2022,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920304_20160404_1022.pdf,http://documents.sviva.gov.il/B002_3_920304_20230116_0904.pdf,דור 3 4,34.9073596587544,32.35019725920049
4117,סלקום,1070,בארותיים,כביש בית ליד טול כרם סמוך לבריכת מים בארותיים,עמק חפר,עמק חפר,199541,691040,תורן קרקעי,26/08/2010,11/08/2020,22/07/2021,יש היתר,0.95,0.11,קרקע,http://documents.sviva.gov.il/B001_2_1070_20201014_1256.pdf,http://documents.sviva.gov.il/B002_2_1070_20200811_1649.pdf,דור 2 3 4,34.99296288604129,32.31293775506526
4368,פלאפון,920375,עין ורד,מושב עין ורד אחרי הכניסה לישוב,לב השרון,עין ורד,194330,685274,תורן קרקעי,20/08/2020,18/10/2020,02/10/2020,יש היתר,0,0,,http://documents.sviva.gov.il/B001_3_920375_20200820_1314.pdf,http://documents.sviva.gov.il/B002_3_920375_20201018_1216.pdf,דור 3 4 5,34.93778063820945,32.260837518056064
4375,פלאפון,920435,אחיטוב,האתר ימוקם במתחם חממות צפונית לאתר סלקום,עמק חפר,עמק חפר,198909,698737,תורן קרקעי,22/06/2020,12/10/2020,02/04/2023,יש היתר,,,,http://documents.sviva.gov.il/B001_3_920435_20200622_1305.pdf,http://documents.sviva.gov.il/B002_3_920435_20201012_1256.pdf,דור 3 4 5,34.986085172545245,32.38233429052381
4380,פלאפון,920451,בחן,מערב ישוב בחן אפיק עמק חפר   קיבוץ בחן.,עמק חפר,עמק חפר,201022,695117,תורן קרקעי,09/02/2023,28/05/2023,16/05/2023,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920451_20230209_1603.pdf,http://documents.sviva.gov.il/B002_3_920451_20230529_0957.pdf,דור 3 4,35.00861022112082,32.34972775174376
4383,פלאפון,920468,צור משה,שדה חקלאי דרומי בצור משה,לב השרון,צורן קדימה,191723,688885,תורן קרקעי,17/03/2022,14/09/2022,12/07/2023,יש היתר,0,0,בתוך מבנה הקרוב כ- 108 מטר מערבה,http://documents.sviva.gov.il/B001_3_920468_20220317_0936.pdf,http://documents.sviva.gov.il/B002_3_920468_20220914_1513.pdf,דור 3 4 5,34.91000824924675,32.293338579074785
4385,פלאפון,920485,אמץ,כיכר בכניסה לישוב אמץ,עמק חפר,עמק חפר,199330,696570,תורן קרקעי,25/03/2020,12/10/2020,01/10/2020,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920485_20200325_1433.pdf,http://documents.sviva.gov.il/B002_3_920485_20201012_1259.pdf,דור 3 4 5,34.99060511020862,32.36280103475103
4388,פלאפון,920525,קלנסואה,במרכז העיר,קלנסואה,קלנסווה,198475,687795,מתקן גישה אלחוטי,06/07/2021,07/12/2022,01/12/2022,יש היתר,46.808,7.279,במבנה מגורים בבנייה במרחק 20 מטר ובכיוון °320.,http://documents.sviva.gov.il/B001_3_920525_20210706_1643.pdf,http://documents.sviva.gov.il/B002_3_920525_20221215_1329.pdf,דור 3 4,34.9817148080503,32.28365616840785
4390,פלאפון,920545,לב השרון,בכניסה למושב ינוב,לב השרון,לב השרון,195937,691052,תורן קרקעי,21/04/2015,08/08/2022,07/06/2023,יש היתר,24.735,2.757,במחסן  ק. קרקע במרחק 73 מטר ובכיוון °205.,http://documents.sviva.gov.il/B001_3_920545_20150421_1057.pdf,http://documents.sviva.gov.il/B002_3_920545_20220808_1403.pdf,דור 3 4,34.954692491227306,32.31297605506576
4398,פלאפון,920631,עמק חפר,שדה פתוח סמוך לישוב בית הלוי.,עמק חפר,עמק חפר,192816,695601,תורן קרקעי,25/09/2019,29/03/2020,24/03/2020,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_3_920631_20190925_1316.pdf,http://documents.sviva.gov.il/B002_3_920631_20200329_0940.pdf,דור 3 4,34.92142374253513,32.35392678745382
